BD;ID;TIPO;SUBTIPO;FECHA;DETONANTE;DETONANDES;FUENTE;SUBREGION;MUNICIPIO;PUEBLO;SITIO;INCERTIDUMB;NORTE;ESTE;FALLECIDOS;ECONOMICAS;NOTAS;LINKFOTO;CPU
ant;8432;Landslide;;2021-11-04;Unkown;;Devimar;Occidente;Cañasgordas;Vector El Madero;km 72 Vía entre Santa Fe de Antioquia y Cañasgordas;Low;69.718;-75.982;0;0;Cierre Total de la vía entre Santa Fe de Antioquia y Cañasgordas, sector El Madero (PR 72), por deslizamiento;
ant;8228;Debris Flow;;2021-03-01;Rainfall;;DAGRAN;Suroeste;Urrao;Ocaido;Puntas de Ocaido;mid;6.239;-76.25;0;0;Se presentan inundaciones por desbordamiento del Río Arquía;
ant;8822;Landslide;;2006-03-20;Unknown;;Unknown;;Titiribí;Unknown;Unknown;Low;6.08;-75.78;3;275;;
ant;8824;Landslide;;1980-10-19;Other cause;;EL COLOMBIANO;;Titiribí;Vereda El Morro;Unknown;Low;6.05;-75.78;4;0;NO SE SABE.(DI6Author : C.P. DI6Date : );
ant;8823;Landslide;;1973-06-26;Rainfall;;BDOSSO-EL TIEMPO 1973-06-28 P.8A;;Titiribí;La Falda del Cauca;La Falda del Cauca;Low;6.06;-75.8;2;0;EL TIEMPO: El n�mero de victimas ocasionado por el invierno que azota al departamento de Antioquia se elev� a 19  al perecer atrapados por derrumbes de tierra dos menores y un agricultor  en los municipios de Titirib� y Guarne. Las autoridades info;
ant;2;Landslide;;1997-05-27;Unknown;Otra causa - Alto fracturamiento de las rocas y altas pendientes;Corantioquia;Suroeste;Titiribí;Antonio José;Vereda Sinifaná;Mid;6.0602757;-75.7932878;0;0;Se observan algunos bloques no muy estables y pueden desprenderse.//la zona inestable es extensa pendiente con el material del suelo suelto y con abundante rastrojo.//algunas recomendaciones: determinar cuales rocas están inestables y proceder a cerrar;
ant;11;Landslide;;1999-07-15;Rainfall;Lluvias - Fuerte invierno;Corantioquia;Suroeste;Titiribí;Antonio José;Vereda Campo Alegre;Mid;6.0602757;-75.7932878;0;0;El fenómeno es antiguo conocido de mínimo 500m de longitud con presencia de agua altas pendientes suelo inestable intervención humana y hasta la influencia de fallas geológicas. se observan grietas de asentamientos volcamientos deslizamientos y despl;
ant;0;Landslide;;1997-04-01;Anthropic;Error humano - Deforestación que desestabilizó el terreno;Corantioquia;Suroeste;Titiribí;;Quebrada la Candela.;High;6.0633238;-75.793768;0;0;El inicio de la construcción de la carretera desequilibró el terreno afectando la estabilidad y generándose riesgos de deslizamientos desprendimientos y acarcavamientos.//debido a la desestabilización del terreno aparecieron afloramientos de aguas qu;
ant;174;Landslide;;1984-10-26;Rainfall;Lluvias - Época invernal;El Colombiano;Suroeste;Titiribí;;Vía Primavera-Bolombolo.Km43.;High;6.0633238;-75.793768;0;0;(di6author : c.p. di6date : 7/02/01);
ant;181;Landslide;;1987-05-04;Rainfall;Lluvias - Época invernal;El Colombiano;Suroeste;Titiribí;;Vía Medellín-Bolombolo.;High;6.0633238;-75.793768;0;0;(di6author : c.p. di6date : 28/03/01);
